type,name,path,relative_path,size,modified,extension
directory,cli,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli,.,,2025-06-14T05:46:56.907870,
file,=1.0flask,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/=1.0flask,=1.0flask,0,2025-06-13T22:51:27.345609,.0flask
file,=2.3threadingasyncio,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/=2.3threadingasyncio,=2.3threadingasyncio,0,2025-06-13T22:51:27.417671,.3threadingasyncio
directory,backup,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/backup,backup,,2025-06-13T21:17:35.779715,
directory,commands,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/commands,commands,,2025-06-14T04:07:14.932336,
file,correct_input.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/correct_input.py,correct_input.py,772,2025-06-14T04:07:14.955866,.py
directory,C:,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:,C:,,2025-06-14T00:52:11.184895,
directory,C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,,2025-06-14T01:32:07.421755,
file,C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup_report.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup_report.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup_report.json,7554,2025-06-14T00:40:39.610410,.json
file,C:\Users\slick\OneDrive\Desktop\slick_ai_system\logs\backup_log.txt,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs/backup_log.txt,C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs/backup_log.txt,8550,2025-06-14T01:22:52.970925,.txt
file,deepseek_integration.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/deepseek_integration.py,deepseek_integration.py,6305,2025-06-14T05:44:08.759325,.py
file,deploy_tools.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/deploy_tools.py,deploy_tools.py,274,2025-06-14T04:07:15.036154,.py
file,glossary_sync.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/glossary_sync.py,glossary_sync.py,796,2025-06-14T04:07:15.101154,.py
file,help.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/help.py,help.py,2073,2025-06-14T04:07:15.476905,.py
file,learn_mode.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/learn_mode.py,learn_mode.py,791,2025-06-14T04:07:16.487335,.py
file,order_manager.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/order_manager.py,order_manager.py,1475,2025-06-14T04:07:16.773336,.py
file,plain_knowledge.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/plain_knowledge.py,plain_knowledge.py,3823,2025-06-14T04:07:17.562463,.py
file,report.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/report.py,report.py,564,2025-06-14T04:07:19.297978,.py
file,report_project.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/report_project.py,report_project.py,7566,2025-06-14T14:37:02.859268,.py
file,see_monitor.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/see_monitor.py,see_monitor.py,1504,2025-06-14T04:07:19.631809,.py
file,slick_cli.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/slick_cli.py,slick_cli.py,2010,2025-06-14T04:07:19.760636,.py
file,slick_start.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/slick_start.py,slick_start.py,4032,2025-06-14T04:07:19.905368,.py
file,slick_stop.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/slick_stop.py,slick_stop.py,1486,2025-06-14T04:07:20.030054,.py
file,status.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/status.py,status.py,304,2025-06-14T04:07:20.660162,.py
file,step_trainer.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/step_trainer.py,step_trainer.py,2221,2025-06-14T04:07:20.747865,.py
file,sync_vscode.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/sync_vscode.py,sync_vscode.py,872,2025-06-14T04:07:20.888587,.py
file,tools.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/tools.py,tools.py,345,2025-06-14T04:07:20.948731,.py
file,__init__,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/__init__,__init__,1245,2025-06-12T20:28:19.505011,
file,project_analysis_20250613_211735.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/backup/project_analysis_20250613_211735.json,backup/project_analysis_20250613_211735.json,29177,2025-06-13T21:17:35.749715,.json
file,project_report_20250613_211735.csv,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/backup/project_report_20250613_211735.csv,backup/project_report_20250613_211735.csv,5032,2025-06-13T21:17:35.793721,.csv
file,report.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/commands/report.py,commands/report.py,239,2025-06-14T04:07:14.869553,.py
directory,Users,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users,C:/Users,,2025-06-14T00:52:12.581603,
directory,slick,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick,C:/Users/slick,,2025-06-14T00:52:13.794969,
directory,OneDrive,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive,C:/Users/slick/OneDrive,,2025-06-14T00:52:15.082445,
directory,Desktop,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop,C:/Users/slick/OneDrive/Desktop,,2025-06-14T00:52:16.229103,
directory,slick_ai_system,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system,C:/Users/slick/OneDrive/Desktop/slick_ai_system,,2025-06-14T00:55:46.159843,
directory,backup,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,,2025-06-14T01:12:36.221276,
directory,logs,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs,C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs,,2025-06-14T00:52:16.519150,
file,project_report_20250614_005546.csv,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_005546.csv,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_005546.csv,204665,2025-06-14T00:55:46.330302,.csv
file,project_report_20250614_005546.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_005546.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_005546.json,316155,2025-06-14T00:55:46.262033,.json
file,project_report_20250614_010854.csv,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_010854.csv,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_010854.csv,205567,2025-06-14T01:08:54.658844,.csv
file,project_report_20250614_010854.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_010854.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_010854.json,317406,2025-06-14T01:08:54.580561,.json
file,project_report_20250614_011236.csv,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_011236.csv,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_011236.csv,206259,2025-06-14T01:12:36.284109,.csv
file,project_report_20250614_011236.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_011236.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_011236.json,318369,2025-06-14T01:12:36.202215,.json
file,backup_log.txt,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs/backup_log.txt,C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs/backup_log.txt,1458,2025-06-14T01:12:36.290461,.txt
file,minimal_exclusion_report_20250614_013207.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/minimal_exclusion_report_20250614_013207.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/minimal_exclusion_report_20250614_013207.json,16525,2025-06-14T01:32:07.440984,.json
file,project_report_20250614_003233.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_003233.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_003233.json,285810,2025-06-14T00:32:34.208298,.json
file,project_report_20250614_003234.csv,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_003234.csv,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_003234.csv,174332,2025-06-14T00:32:34.289905,.csv
file,project_report_20250614_012252.csv,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_012252.csv,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_012252.csv,46,2025-06-14T01:22:52.967920,.csv
file,project_report_20250614_012252.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_012252.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup/project_report_20250614_012252.json,2,2025-06-14T01:22:52.954921,.json
