type,category,module_name,path,relative_path,size,created,modified,extension,purpose,version
core,core,Main Entrypoint,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/SLICK.py,SLICK.py,1142,2025-06-13T23:49:33.445515,2025-06-13T23:49:33.445515,.py,Primary application entry point,2
core,core,Configuration,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.env,.env,495,2025-06-13T23:03:22.434349,2025-06-13T23:03:22.434349,,Environment variables,2
core,core,Configuration,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config,config/,,2025-06-13T23:50:09.773182,2025-06-13T23:50:09.773182,,Configuration files,2
core,core,Configuration,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/requirements.txt,requirements.txt,1495,2025-06-13T15:35:18.807082,2025-06-13T13:48:43.557464,.txt,Python dependencies,2
core,core,Configuration,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup.py,setup.py,260,2025-06-13T15:35:18.864117,2025-06-02T20:10:33.765729,.py,Main installation script,2

ai,ai,AI Core,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core,ai_core/,,2025-06-13T19:23:11.403370,2025-06-13T19:23:11.403370,,Core AI processing modules,2
ai,ai,Cognitive Engine,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cognitive,cognitive/,,2025-06-13T15:35:18.213672,2025-06-12T02:10:44.053272,,Reasoning components,2
ai,ai,Knowledge Base,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/knowledge,knowledge/,,2025-06-13T17:25:01.314837,2025-06-13T17:25:01.314837,,Knowledge management,2
ai,ai,Memory System,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/memory,memory/,,2025-06-13T15:35:18.619838,2025-06-13T11:47:26.103464,,Memory persistence,2
ai,ai,Stream Processing,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/streamline_ai.py,streamline_ai.py,8055,2025-06-13T15:35:39.480803,2025-06-13T00:29:59.568670,.py,AI processing pipeline,2

interface,interface,Chat Interface,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/Slick_chat.py,Slick_chat.py,15037,2025-06-13T15:35:39.388802,2025-06-12T21:53:18.297480,.py,Chat functionality,2
interface,interface,Voice System,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/voice_server.py,voice_server.py,1089,2025-06-13T15:35:45.784250,2025-06-12T21:54:26.053954,.py,Voice processing,2
interface,interface,Voice System,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/mic_input,mic_input/,,2025-06-13T15:35:18.720384,2025-06-12T04:04:36.341182,,Microphone input,2
interface,interface,Web UI,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/web_interface,web_interface/,,2025-06-13T23:22:07.573905,2025-06-13T23:22:07.573905,,Web interface components,2
interface,interface,Web UI,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/templates,templates/,,2025-06-13T15:35:39.563801,2025-06-12T11:35:18.026272,,HTML templates,2
interface,interface,Web UI,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/index.html,index.html,13100,2025-06-13T15:35:18.542392,2025-06-12T05:55:29.388624,.html,Main web page,2
interface,interface,Web UI,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/Slick_dashboard.html,Slick_dashboard.html,31090,2025-06-13T15:35:39.392802,2025-06-11T14:07:17,.html,Dashboard,2
interface,interface,CLI,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli,cli/,,2025-06-14T00:28:28.425223,2025-06-14T00:28:28.425223,,Command line interface,2

data,data,Data Management,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/data,data/,,2025-06-13T15:35:18.430144,2025-06-12T18:57:01.483720,,Data storage/processing,2
data,data,Database,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend,backend/,,2025-06-13T15:35:17.863121,2025-06-12T21:51:59.240389,,Database interactions,2

dev,dev,Testing,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/tests,tests/,,2025-06-13T16:36:49.746862,2025-06-13T16:36:49.746862,,Test cases,2
dev,dev,Testing,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/run_tests.py,run_tests.py,3200,2025-06-13T22:57:34.739732,2025-06-13T22:57:34.739732,.py,Test runner,2
dev,dev,Testing,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/test_advanced_cognition.py,test_advanced_cognition.py,890,2025-06-13T15:35:39.783430,2025-06-13T00:50:29.301875,.py,Cognition tests,2
dev,dev,Documentation,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/docs,docs/,,2025-06-13T15:35:18.485595,2025-06-13T12:04:58.140091,,Documentation,2
dev,dev,Documentation,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/README.md,README.md,5649,2025-06-13T15:35:18.795087,2025-06-13T12:49:32.437459,.md,Project overview,2
dev,dev,Documentation,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/project_structure.csv,project_structure.csv,28249,2025-06-13T15:35:18.793086,2025-06-11T20:09:49.988006,.csv,Structure reference,2

utils,utils,Utilities,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/utils,utils/,,2025-06-13T17:07:27.448077,2025-06-13T17:07:27.448077,,Helper functions,2
utils,utils,Utilities,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/fix_imports.py,fix_imports.py,616,2025-06-13T15:35:18.537393,2025-06-13T00:54:38.177896,.py,Import fixer,2
utils,utils,Utilities,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/noise_filter.py,noise_filter.py,502,2025-06-13T15:35:18.779947,2025-06-12T14:26:56.524757,.py,Audio processing,2
utils,utils,Utilities,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/verify.py,verify.py,475,2025-06-13T15:35:45.780248,2025-06-12T22:05:17.184623,.py,Validation tools,2
utils,utils,Scripts,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/scripts,scripts/,,2025-06-13T15:35:18.815085,2025-06-13T01:21:04.723563,,Automation scripts,2

modules,modules,Extensions,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/modules,modules/,,2025-06-13T15:35:18.730113,2025-06-12T21:54:47.725353,,Plugins,2
modules,modules,Integrations,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deepseek_integration.py,deepseek_integration.py,1666,2025-06-13T15:35:18.478270,2025-06-12T00:48:21.596773,.py,DeepSeek API,2
modules,modules,Integrations,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/telegram_bot,telegram_bot/,,2025-06-13T22:49:03.513281,2025-06-13T22:49:03.513281,,Telegram integration,2
modules,modules,Integrations,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/vscode_integration,vscode_integration/,,2025-06-13T22:49:42.335385,2025-06-13T22:49:42.335385,,VSCode tools,2

system,system,Core System,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/core,core/,,2025-06-13T23:12:17.772566,2025-06-13T23:12:17.772566,,Low-level systems,2
system,system,Engine,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/engine,engine/,,2025-06-13T15:35:18.511433,2025-06-12T02:12:27.687472,,Execution engine,2
system,system,Deployment,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deployment,deployment/,,2025-06-13T16:35:36.785983,2025-06-13T16:35:36.785983,,Deployment configs,2